R001  -0-0000,表題,地域,件数,北海道,東北,関東・甲信越,中部,近畿,中国,四国,九州・沖縄,無回答,
R001  -0-0000,0,合計,9463,72,1209,4356,1766,1231,474,139,216,0,
R001  -0-0000,0,,100.0,0.8,12.8,46.0,18.7,13.0,5.0,1.5,2.3,0,
 
R002  -0-0000,表題,都道府県,件数,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,無回答,
R002  -0-0000,0,合計,9463,72,170,187,384,121,124,223,224,153,122,511,638,1149,1020,265,109,94,110,23,251,141,660,558,94,91,212,426,369,88,45,9,10,135,210,110,10,69,45,15,120,11,10,32,10,6,23,4,0,
R002  -0-0000,0,,100.0,0.8,1.8,2.0,4.1,1.3,1.3,2.4,2.4,1.6,1.3,5.4,6.7,12.1,10.8,2.8,1.2,1.0,1.2,0.2,2.7,1.5,7.0,5.9,1.0,1.0,2.2,4.5,3.9,0.9,0.5,0.1,0.1,1.4,2.2,1.2,0.1,0.7,0.5,0.2,1.3,0.1,0.1,0.3,0.1,0.1,0.2,0.0,0,
 
R003  -0-0000,表題,性別,件数,男性,女性,無回答,
R003  -0-0000,0,合計,9463,5405,4058,0,
R003  -0-0000,0,,100.0,57.1,42.9,0,
 
R004  -0-0000,表題,年齢,件数,４９歳以下,５０～５９歳,６０～６４歳,６５～６９歳,７０～７４歳,７５～７９歳,８０歳以上,無回答,平均,最小値,最大値,実数合計,
R004  -0-0000,0,合計,9463,9,42,831,2679,3217,1632,1049,4,71.7,6,97,677980,
R004  -0-0000,0,,100.0,0.1,0.4,8.8,28.3,34.0,17.3,11.1,0.0,71.7,6,97,100.0,
 
R005  -0-0000,表題,年齢,件数,６０歳未満,６０代,７０代,８０歳以上,無回答,平均,最小値,最大値,実数合計,
R005  -0-0000,0,合計,9463,51,3510,4849,1049,4,71.7,6,97,677980,
R005  -0-0000,0,,100.0,0.5,37.1,51.3,11.1,0.0,71.7,6,97,100.0,
R005  -0-0000,1,男性,5405,10,1390,3199,804,2,73.3,6,97,396042,
R005  -0-0000,1,,100.0,0.2,25.7,59.2,14.9,0.0,73.3,6,97,58.4,
R005  -0-0000,2,女性,4058,41,2120,1650,245,2,69.5,7,95,281938,
R005  -0-0000,2,,100.0,1.0,52.3,40.7,6.0,0.0,69.5,7,95,41.6,
R005  -0-0000,3,無回答,0,0,0,0,0,0,0,,,0,
R005  -0-0000,3,,0,0,0,0,0,0,0,,,0,
 
R006  -0-0000,表題,プレゼント応募,件数,「六兵衛窯琳派豆皿」５枚セット,特製ＱＵＯカード,無回答,
R006  -0-0000,0,合計,9463,3845,5601,17,
R006  -0-0000,0,,100.0,40.7,59.3,0.2,
R006  -0-0000,1,男性,5405,1994,3402,9,
R006  -0-0000,1,,100.0,37.0,63.0,0.2,
R006  -0-0000,2,女性,4058,1851,2199,8,
R006  -0-0000,2,,100.0,45.7,54.3,0.2,
R006  -0-0000,3,無回答,0,0,0,0,
R006  -0-0000,3,,0,0,0,0,
 
R007  -0-0000,表題,プレゼント応募,件数,「六兵衛窯琳派豆皿」５枚セット,特製ＱＵＯカード,無回答,
R007  -0-0000,0,合計,9463,3845,5601,17,
R007  -0-0000,0,,100.0,40.7,59.3,0.2,
R007  -0-0000,1,４９歳以下,9,6,3,0,
R007  -0-0000,1,,100.0,66.7,33.3,0,
R007  -0-0000,2,５０～５９歳,42,26,16,0,
R007  -0-0000,2,,100.0,61.9,38.1,0,
R007  -0-0000,3,６０～６４歳,831,401,430,0,
R007  -0-0000,3,,100.0,48.3,51.7,0,
R007  -0-0000,4,６５～６９歳,2679,1177,1499,3,
R007  -0-0000,4,,100.0,44.0,56.0,0.1,
R007  -0-0000,5,７０～７４歳,3217,1293,1915,9,
R007  -0-0000,5,,100.0,40.3,59.7,0.3,
R007  -0-0000,6,７５～７９歳,1632,609,1019,4,
R007  -0-0000,6,,100.0,37.4,62.6,0.2,
R007  -0-0000,7,８０歳以上,1049,333,715,1,
R007  -0-0000,7,,100.0,31.8,68.2,0.1,
R007  -0-0000,8,無回答,4,0,4,0,
R007  -0-0000,8,,100.0,0,100.0,0,
 
R008  -0-0000,表題,アンケート：２０２０年の「ジパング倶楽部」の利用回数は？　　　　　　　　　　　　　　　　　　　　　　　　　　,件数,Ａ．０回,Ｂ．１回,Ｃ．２～４回,Ｄ．５～１０回,Ｅ．１１～１５回,Ｆ．１６～１９回,Ｇ．２０回,無回答,
R008  -0-0000,0,合計,9463,4283,1596,2143,859,410,52,117,3,
R008  -0-0000,0,,100.0,45.3,16.9,22.7,9.1,4.3,0.5,1.2,0.0,
